province,total,n,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,region
Samut Sakhon Province,Total,586789,228,THA,Thailand,58,Samut Sakhon,Changwat,Province,????????????????,Central Region
Samut Songkhram Province,Total,190842,228,THA,Thailand,59,Samut Songkhram,Changwat,Province,????????????????,Central Region
Saraburi Province,Total,643963,228,THA,Thailand,60,Saraburi,Changwat,Province,??????????????,Central Region
Satun  Province,Total,324835,228,THA,Thailand,61,Satun,Changwat,Province,???????????,Southern Region
Si Sa Ket Province,Total,1457556,228,THA,Thailand,62,Si Sa Ket,Changwat,Province,???????????????,Northeastern Region
Sing Buri Province,Total,204526,228,THA,Thailand,63,Sing Buri,Changwat,Province,????????????????,Central Region
Songkhla Province,Total,1431536,228,THA,Thailand,64,Songkhla,Changwat,Province,????????????,Southern Region
Sukhothai Province,Total,585352,228,THA,Thailand,65,Sukhothai,Changwat,Province,??????????????,Northern Region
Suphan Buri Province,Total,835360,228,THA,Thailand,66,Suphan Buri,Changwat,Province,????????????????,Central Region
Surat Thani Province,Total,1072464,228,THA,Thailand,67,Surat Thani,Changwat,Province,????????????????,Southern Region
Surin Province,Total,1376230,228,THA,Thailand,68,Surin,Changwat,Province,???????????????,Northeastern Region
Tak Province,Total,676583,228,THA,Thailand,69,Tak,Changwat,Province,??????????,Northern Region
Trang Province,Total,639788,228,THA,Thailand,70,Trang,Changwat,Province,???????????,Southern Region
Trat Province,Total,228376,228,THA,Thailand,71,Trat,Changwat,Province,???????????,Central Region
Ubon Ratchathani Province,Total,1868519,228,THA,Thailand,72,Ubon Ratchathani,Changwat,Province,????????????????,Northeastern Region
Udon Thani Province,Total,1566510,228,THA,Thailand,73,Udon Thani,Changwat,Province,???????????????,Northeastern Region
Uthai Thani Province,Total,325116,228,THA,Thailand,74,Uthai Thani,Changwat,Province,????????????????,Northern Region
Uttaradit Province,Total,446148,228,THA,Thailand,75,Uttaradit,Changwat,Province,????????????????,Northern Region
Yala Province,Total,542314,228,THA,Thailand,76,Yala,Changwat,Province,???????????,Southern Region
Yasothon Province,Total,533394,228,THA,Thailand,77,Yasothon,Changwat,Province,????????????,Northeastern Region
